"Invalid form key.","Chave de formulário inválida."
"Email is required.","E-mail é obrigatório."
"No customer account found with this email address.","Nenhuma conta de cliente encontrada com este endereço de e-mail."
"Invalid form key. Please refresh the page and try again.","Chave de formulário inválida. Por favor, atualize a página e tente novamente."
"Email address is required.","Endereço de e-mail é obrigatório."
"An error occurred. Please try again later.","Ocorreu um erro. Por favor, tente novamente mais tarde."
"Missing required parameters.","Parâmetros obrigatórios ausentes."
"You have been successfully logged in.","Você foi conectado com sucesso."
"An error occurred while processing your request. Please try again later.","Ocorreu um erro ao processar sua solicitação. Por favor, tente novamente mais tarde."
"Your account is locked. Please contact customer support.","Sua conta está bloqueada. Por favor, entre em contato com o suporte ao cliente."
"Customer does not exist.","Cliente não existe."
"Unable to login: %1","Não foi possível fazer login: %1"
"Sua conta está temporariamente bloqueada devido a múltiplas tentativas falhas. Por favor, tente novamente em %1.","Sua conta está temporariamente bloqueada devido a múltiplas tentativas falhas. Por favor, tente novamente em %1."
"Sua conta foi bloqueada por 12 horas devido a múltiplas tentativas falhas de verificação de código.","Sua conta foi bloqueada por 12 horas devido a múltiplas tentativas falhas de verificação de código."
"Unable to send email: %1","Não foi possível enviar e-mail: %1"
"Invalid link. Please request a new one.","Link inválido. Por favor, solicite um novo."
"This link has expired. Please request a new one.","Este link expirou. Por favor, solicite um novo."
"Invalid or expired link. Please try again.","Link inválido ou expirado. Por favor, tente novamente."
"Invalid email address.","Endereço de e-mail inválido."
"Unable to generate verification code: %1","Não foi possível gerar código de verificação: %1"
"Código de verificação inválido ou expirado. Por favor, tente novamente.","Código de verificação inválido ou expirado. Por favor, tente novamente."
"Verification code was sent successfully! Please check your email.","Código de verificação enviado com sucesso! Por favor, verifique seu e-mail."
"Email is required for social login","E-mail é obrigatório para login social"
"Unable to create account: %1","Não foi possível criar conta: %1"
"Account creation failed","Falha na criação da conta"
"Unsupported provider","Provedor não suportado"
"Authentication failed","Falha na autenticação"
"Identifique-se para fazer a sua avaliação","Identifique-se para fazer a sua avaliação"
"Access Code %code","Código de Acesso %code"
Hello!,Olá!
"You requested a code to access %store_name.","Você solicitou um código para acessar %store_name."
"Your code is:","Seu código é:"
"If you did not request this code, you can safely ignore this email.","Se você não solicitou este código, pode ignorar este e-mail com segurança."
"This code will expire in %expiration hour(s).","Este código expirará em %expiration hora(s)."
"Thank you!","Obrigado!"
"Checkout as a new customer","Finalizar compra como novo cliente"
"Creating an account has many benefits:","Criar uma conta tem muitos benefícios:"
"See order and shipping status","Ver status do pedido e envio"
"Track order history","Acompanhar histórico de pedidos"
"Check out faster","Finalizar compra mais rapidamente"
"Create an Account","Criar uma Conta"
"Checkout using your account","Finalizar compra usando sua conta"
"Email Address","Endereço de E-mail"
Password,Senha
"Sign In","Entrar"
"Forgot Your Password?","Esqueceu sua Senha?"
or,ou
"* Required Fields","* Campos Obrigatórios"
"Aproveite, continue com o seu login social","Aproveite, continue com o seu login social"
"Continue with Google","Continuar com Google"
"Continue with Facebook","Continuar com Facebook"
"Continue with Microsoft Live","Continuar com Microsoft Live"
"Continue with Verify Code","Continuar com Código de Verificação"
"Login with Verification Code","Login com Código de Verificação"
"This method is exclusive to those who already have an account created.","Este método é exclusivo para quem já possui uma conta criada."
"Enter your Email for receive Verification Code.","Digite seu E-mail para receber o Código de Verificação."
"Send Verification Code","Enviar Código de Verificação"
"Enter Verification Code","Digite o Código de Verificação"
"Verification Code","Código de Verificação"
"Verify and Login","Verificar e Entrar"
"Error sending verification code. Please try again.","Erro ao enviar código de verificação. Por favor, tente novamente."
"Error verifying code. Please try again.","Erro ao verificar código. Por favor, tente novamente."
O2TI,O2TI
"Social Login","Login Social"
"Use external login to register on the site.","Use login externo para se registrar no site."
Enable,Habilitar
Facebook,Facebook
"App ID","ID do App"
"App Secret","Segredo do App"
Google,Google
"Windows Live","Windows Live"
"Verify Code","Código de Verificação"
"Link Expiration (hours)","Expiração do Link (horas)"
"Number of hours the verify code will be valid.","Número de horas que o código de verificação será válido."
"Email for Verify Code","E-mail para Código de Verificação"
"Email Template","Modelo de E-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Modelo de e-mail escolhido com base no fallback do tema quando a opção ""Padrão"" é selecionada."
"Email Sender","Remetente do E-mail"
"Send Email Copy To","Enviar Cópia do E-mail Para"
Comma-separated,Separado por vírgulas
"Send Email Copy Method","Método de Envio de Cópia do E-mail"
"Subscribe New Accounts to Newsletter","Inscrever Novas Contas na Newsletter"
"Automatically subscribe customers to the newsletter when their account is created through social login.","Inscreve automaticamente os clientes na newsletter quando a conta é criada pelo login social."
