"Invalid form key.","Invalid form key."
"Email is required.","Email is required."
"No customer account found with this email address.","No customer account found with this email address."
"Invalid form key. Please refresh the page and try again.","Invalid form key. Please refresh the page and try again."
"Email address is required.","Email address is required."
"An error occurred. Please try again later.","An error occurred. Please try again later."
"Missing required parameters.","Missing required parameters."
"You have been successfully logged in.","You have been successfully logged in."
"An error occurred while processing your request. Please try again later.","An error occurred while processing your request. Please try again later."
"Your account is locked. Please contact customer support.","Your account is locked. Please contact customer support."
"Customer does not exist.","Customer does not exist."
"Unable to login: %1","Unable to login: %1"
"Sua conta está temporariamente bloqueada devido a múltiplas tentativas falhas. Por favor, tente novamente em %1.","Sua conta está temporariamente bloqueada devido a múltiplas tentativas falhas. Por favor, tente novamente em %1."
"Sua conta foi bloqueada por 12 horas devido a múltiplas tentativas falhas de verificação de código.","Sua conta foi bloqueada por 12 horas devido a múltiplas tentativas falhas de verificação de código."
"Unable to send email: %1","Unable to send email: %1"
"Invalid link. Please request a new one.","Invalid link. Please request a new one."
"This link has expired. Please request a new one.","This link has expired. Please request a new one."
"Invalid or expired link. Please try again.","Invalid or expired link. Please try again."
"Invalid email address.","Invalid email address."
"Unable to generate verification code: %1","Unable to generate verification code: %1"
"Código de verificação inválido ou expirado. Por favor, tente novamente.","Código de verificação inválido ou expirado. Por favor, tente novamente."
"Verification code was sent successfully! Please check your email.","Verification code was sent successfully! Please check your email."
"Email is required for social login","Email is required for social login"
"Unable to create account: %1","Unable to create account: %1"
"Account creation failed","Account creation failed"
"Unsupported provider","Unsupported provider"
"Authentication failed","Authentication failed"
"Identifique-se para fazer a sua avaliação","Identifique-se para fazer a sua avaliação"
"Access Code %code","Access Code %code"
Hello!,Hello!
"You requested a code to access %store_name.","You requested a code to access %store_name."
"Your code is:","Your code is:"
"If you did not request this code, you can safely ignore this email.","If you did not request this code, you can safely ignore this email."
"This code will expire in %expiration hour(s).","This code will expire in %expiration hour(s)."
"Thank you!","Thank you!"
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Create an Account","Create an Account"
"Checkout using your account","Checkout using your account"
"Email Address","Email Address"
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
or,or
"* Required Fields","* Required Fields"
"Aproveite, continue com o seu login social","Aproveite, continue com o seu login social"
"Continue with Google","Continue with Google"
"Continue with Facebook","Continue with Facebook"
"Continue with Microsoft Live","Continue with Microsoft Live"
"Continue with Verify Code","Continue with Verify Code"
"Login with Verification Code","Login with Verification Code"
"This method is exclusive to those who already have an account created.","This method is exclusive to those who already have an account created."
"Enter your Email for receive Verification Code.","Enter your Email for receive Verification Code."
"Send Verification Code","Send Verification Code"
"Enter Verification Code","Enter Verification Code"
"Verification Code","Verification Code"
"Verify and Login","Verify and Login"
"Error sending verification code. Please try again.","Error sending verification code. Please try again."
"Error verifying code. Please try again.","Error verifying code. Please try again."
O2TI,O2TI
"Social Login","Social Login"
"Use external login to register on the site.","Use external login to register on the site."
Enable,Enable
Facebook,Facebook
"App ID","App ID"
"App Secret","App Secret"
Google,Google
"Windows Live","Windows Live"
"Verify Code","Verify Code"
"Link Expiration (hours)","Link Expiration (hours)"
"Number of hours the verify code will be valid.","Number of hours the verify code will be valid."
"Email for Verify Code","Email for Verify Code"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Email Sender"
"Send Email Copy To","Send Email Copy To"
Comma-separated,Comma-separated
"Send Email Copy Method","Send Email Copy Method"
"Subscribe New Accounts to Newsletter","Subscribe New Accounts to Newsletter"
"Automatically subscribe customers to the newsletter when their account is created through social login.","Automatically subscribe customers to the newsletter when their account is created through social login."
